id,title,cuisine,difficulty,prep_time_min,cook_time_min,total_time_min,tags,created_at
aloo-paratha-b301b2,Aloo Paratha,Indian,easy,20,20,40,"breakfast,flatbread",2025-06-06T04:18:33.157244Z
chicken-biryani-c48283,Chicken Biryani (Dum Style),Indian,hard,40,60,100,"one-pot,festive",2025-09-14T04:18:32.197141Z
chicken-curry-6f2156,Home-style Chicken Curry,Indian,medium,15,40,55,"homestyle,comfort",2025-05-28T04:18:33.827374Z
chicken-tacos-6e8af7,Chicken Tacos,Mexican,easy,15,15,30,"street-food,quick",2025-02-26T04:18:34.221316Z
chocolate-cake-ecf321,Chocolate Cake (One Bowl),Dessert,medium,15,30,45,"dessert,baking",2025-07-05T04:18:34.340169Z
chole-masala-4b2d6f,Chole Masala,Indian,medium,30,40,70,"north-indian,street-food",2025-07-08T04:18:33.563723Z
dal-tadka-bfaa1c,Dal Tadka (Yellow Lentils with Tadka),Indian,easy,10,25,35,"comfort,vegetarian",2025-06-06T04:18:33.434831Z
egg-fried-rice-22e066,Egg Fried Rice,Chinese,easy,10,8,18,"quick,lunch",2025-10-27T04:18:33.708161Z
gulab-jamun-4590f3,Gulab Jamun,Dessert,medium,30,20,50,"dessert,festive",2025-07-22T04:18:34.460759Z
idli-sambar-4b4565,Idli with Sambar,Indian,medium,480,30,510,"breakfast,south-indian",2025-07-07T04:18:33.029601Z
kheer-183958,Kheer (Rice Pudding),Indian,easy,5,40,45,"dessert,festive",2025-06-30T04:18:34.577374Z
khichdi-4d359897,Khichdi,Indian,easy,20,25,45,"comfort,vegetarian,one-pot",2025-11-25T04:18:31.111910Z
masala-dosa-3040b4,Masala Dosa with Potato Masala,Indian,medium,480,30,510,"breakfast,south-indian",2025-03-30T04:18:32.905995Z
paneer-butter-masala-852241,Paneer Butter Masala,Indian,medium,15,25,40,"restaurant-style,vegetarian,gravy",2025-07-15T04:18:32.054320Z
pasta-alfredo-bb2a1e,Pasta Alfredo,Italian,easy,10,15,25,"italian,comfort",2025-09-24T04:18:33.961546Z
pav-bhaji-184936,Pav Bhaji,Indian,medium,20,30,50,"street-food,vegan",2025-07-19T04:18:33.291242Z
sweet-corn-soup-7430fb,Sweet Corn Soup,Chinese,easy,10,15,25,"soup,comfort",2025-03-30T04:18:32.630971Z
tomato-soup-a171ba,Tomato Basil Soup,International,easy,10,20,30,"soup,comfort",2024-12-30T04:18:32.780263Z
veg-burrito-6643ea,Veg Burrito,Mexican,easy,15,10,25,"wrap,quick",2025-04-21T04:18:34.082233Z
veg-hakka-noodles-99efa5,Veg Hakka Noodles,Chinese,easy,15,10,25,"street-style,quick",2025-04-05T04:18:32.343254Z
veg-manchurian-gravy-78f299,Veg Manchurian (Gravy),Chinese,medium,20,25,45," Indo-Chinese,gravy",2025-11-12T04:18:32.487349Z
good-9b4314,Test Paneer Tikka,Indian,easy,10,15,25,,2025-11-25T04:54:51.287699Z
good-aef9ef,Test Pasta Alfredo,Italian,medium,12,18,30,,2025-11-25T04:54:51.287904Z
